AMOUNT__C,BROKER_STATUS__C,BROKER_TIER__C,CLIENT_RISK_RATING__C,CREDIT_SCORE_BORROWER_2__C,CREDIT_SCORE__C,CURRENT_TERM_IN_MONTHS__C,EMPLOYMENT_STATUS_BORROWER_2__C,EMPLOYMENT_STATUS__C,GLOBAL_DEBT_SERVICING_RATIO__C,LOAN_ID__C,INTEREST_RATE__C,LOAN_TO_VALUE__C,MORTGAGE_POSITION__C,MORTGAGE_PURPOSE__C,OCCUPANCY_TYPE__C,PROPERTY_TYPE__C,SELF_EMPLOYED__C,STAGE__C,TOTAL_DEBT_SERVICING_RATIO__C
842488,Deactivated,Key Account,3,492,703,20,Commissions,Hourly,14.6,a006g000002FClkAAG,8.71,63,3,Equity Takeout,Rental,Row,FALSE,Approved,17.5
1308474,Approved,Key Account,4,770,613,33,Other,Pension,47.4,a006g000002FCllAAG,9.63,18,1,Refinance for Debt Consolidation,Rental,Apartment Low Rise,FALSE,Declined,72.1
741111,Approved,Non Key Account,4,816,814,56,Salary,Hourly,16.9,a006g000002FClmAAG,6.53,45,3,Purchase Rent to Own,Owner,Apartment High Rise,FALSE,Declined,41.9
1082525,Approved,Key Account,3,549,764,41,Commissions,Commissions,70.8,a006g000002FClnAAG,6.79,57,3,Refinance,Rent To Own,Row,FALSE,Approved,84.1
691716,Watch List,Key Account,4,522,546,57,Hourly,Hourly,47.2,a006g000002FCloAAG,7.43,7,3,Equity Takeout,Rental,Apartment High Rise,FALSE,Declined,55.7
618602,Watch List,Non Key Account,3,586,450,20,Commissions,Salary,34.4,a006g000002FClpAAG,4.25,42,3,Equity Takeout,Rental,Apartment Low Rise,FALSE,Declined,69.6
1409999,Approved,Non Key Account,3,633,659,25,Other,Commissions,16.7,a006g000002FClqAAG,8.44,7,3,Purchase,Rental,Single,FALSE,Declined,20.7
121549,Approved,Non Key Account,4,601,599,29,Hourly,Salary,72.7,a006g000002FClrAAG,8.84,46,2,Purchase Rent to Own,Rent To Own,Apartment High Rise,FALSE,Declined,96.5
659999,Approved,Key Account,3,580,530,41,Other,Self-employed,63.6,a006g000002FClsAAG,5.81,19,2,Purchase,Rental,Row,TRUE,Declined,82.4
805216,Approved,Non Key Account,1,576,485,14,Other,Self-employed,23.1,a006g000002FCltAAG,4.18,67,1,Refinance,Rental,Apartment Low Rise,TRUE,Declined,79.8
502640,Deactivated,Non Key Account,3,478,671,12,Pension,Other,1.7,a006g000002FCluAAG,6.09,53,3,Refinance,Rental,Single,FALSE,Declined,69.1
1128477,Approved,Non Key Account,5,570,573,26,Self-employed,Salary,7,a006g000002FClvAAG,9.46,24,1,Refinance,Rental,Apartment High Rise,FALSE,Declined,34.8
964953,Approved,Non Key Account,4,860,768,41,Other,Pension,89.9,a006g000002FClwAAG,8.02,50,2,Purchase Rent to Own,Rent To Own,Semi-detached,FALSE,Declined,91.6
374687,Watch List,Non Key Account,3,643,828,41,Hourly,Other,83.7,a006g000002FClxAAG,9.61,68,3,Refinance,Rental,Semi-detached,FALSE,Declined,99.3
670790,Approved,Non Key Account,3,621,758,12,Self-employed,Self-employed,70.4,a006g000002FClyAAG,4.23,27,3,Refinance for Debt Consolidation,Rental,Apartment Low Rise,TRUE,Declined,87.7
399719,Deactivated,Non Key Account,5,403,499,42,Salary,Pension,46.6,a006g000002FClzAAG,7.11,50,1,Refinance for Debt Consolidation,Rental,Apartment Low Rise,FALSE,Declined,89.6
945775,Approved,Key Account,5,868,783,47,Self-employed,Salary,1.6,a006g000002FCm0AAG,9.28,80,2,Equity Takeout,Owner,Row,FALSE,Declined,28.5
226699,Approved,Key Account,2,727,662,25,Salary,Salary,31.5,a006g000002FCm1AAG,4.42,15,3,Refinance for Debt Consolidation,Rent To Own,Semi-detached,FALSE,Declined,78.6
686744,Approved,Key Account,5,496,701,4,Salary,Hourly,61.4,a006g000002FCm2AAG,6.54,61,3,Refinance for Debt Consolidation,Rent To Own,Apartment Low Rise,FALSE,Declined,83.4
1210866,Approved,Key Account,5,593,878,51,Contract,Hourly,83.6,a006g000002FCm3AAG,4.69,44,1,Purchase Rent to Own,Rent To Own,Semi-detached,FALSE,Declined,87
601110,Approved,Key Account,3,721,786,36,Hourly,Other,26.4,a006g000002FCm4AAG,9.92,59,3,Purchase Rent to Own,Owner,Apartment High Rise,FALSE,Approved,51.8
678344,Approved,Key Account,3,405,767,60,Pension,Contract,54.7,a006g000002FCm5AAG,5.41,43,2,Refinance for Debt Consolidation,Rental,Single,FALSE,Declined,66
1165405,Deactivated,Key Account,1,789,774,15,Salary,Self-employed,84,a006g000002FCm6AAG,8.24,76,3,Purchase Rent to Own,Rent To Own,Row,TRUE,Declined,89
935305,Approved,Key Account,3,484,537,32,Pension,Pension,40.1,a006g000002FCm7AAG,7.43,43,3,Refinance,Rent To Own,Row,FALSE,Approved,59.1
1025459,Watch List,Key Account,4,400,508,2,Commissions,Contract,2.7,a006g000002FCm8AAG,8.45,24,2,Refinance for Debt Consolidation,Owner,Row,FALSE,Approved,56
310325,Approved,Non Key Account,4,756,572,49,Other,Hourly,92.2,a006g000002FCm9AAG,8.46,49,3,Purchase,Owner,Semi-detached,FALSE,Approved,96.6
1223186,Approved,Key Account,5,824,614,19,Self-employed,Other,23.1,a006g000002FCmAAAW,9.23,36,2,Refinance,Rent To Own,Apartment Low Rise,FALSE,Declined,65.6
1428889,Approved,Key Account,4,866,603,6,Salary,Pension,74.2,a006g000002FCmBAAW,6.17,13,1,Refinance,Rental,Apartment Low Rise,FALSE,Declined,84.6
1456022,Approved,Non Key Account,4,822,896,59,Salary,Self-employed,31.2,a006g000002FCmCAAW,6.57,44,2,Refinance for Debt Consolidation,Owner,Apartment Low Rise,TRUE,Declined,32.9
1404932,Approved,Non Key Account,3,699,730,51,Hourly,Salary,29.5,a006g000002FCmDAAW,6.45,19,1,Equity Takeout,Owner,Single,FALSE,Declined,81.4
583579,Approved,Non Key Account,4,434,474,26,Contract,Salary,4.1,a006g000002FCmEAAW,8.09,77,3,Purchase Rent to Own,Rent To Own,Semi-detached,FALSE,Declined,14.5
1384959,Deactivated,Non Key Account,5,413,573,43,Self-employed,Self-employed,99.4,a006g000002FCmFAAW,7.87,73,2,Refinance,Rent To Own,Row,TRUE,Declined,99.9
929926,Approved,Non Key Account,2,682,613,34,Commissions,Hourly,53.3,a006g000002FCmGAAW,9.99,54,1,Equity Takeout,Rental,Row,FALSE,Declined,54.6
294443,Deactivated,Key Account,3,714,802,23,Other,Hourly,18.5,a006g000002FCmHAAW,4.16,77,2,Refinance for Debt Consolidation,Owner,Single,FALSE,Declined,64.8
186687,Deactivated,Key Account,4,559,633,33,Self-employed,Other,19.8,a006g000002FCmIAAW,5.52,69,1,Refinance,Rent To Own,Apartment High Rise,FALSE,Declined,96.5
147450,Watch List,Non Key Account,2,672,418,14,Hourly,Contract,55.7,a006g000002FCmJAAW,7.38,38,1,Refinance for Debt Consolidation,Rent To Own,Row,FALSE,Approved,73.6
308679,Deactivated,Non Key Account,4,663,446,57,Other,Hourly,67.6,a006g000002FCmKAAW,8.97,23,1,Refinance,Owner,Apartment Low Rise,FALSE,Declined,98.4
106411,Watch List,Non Key Account,4,900,794,18,Other,Salary,58.2,a006g000002FCmLAAW,8.19,59,2,Refinance,Rental,Single,FALSE,Declined,86.1
1476220,Watch List,Key Account,4,477,824,22,Self-employed,Contract,80.9,a006g000002FCmMAAW,9.51,67,1,Purchase,Rent To Own,Apartment High Rise,FALSE,Declined,96.5
771921,Approved,Non Key Account,2,859,769,37,Pension,Hourly,46.8,a006g000002FCmNAAW,4.16,15,1,Purchase,Owner,Apartment Low Rise,FALSE,Declined,77.1
652192,Approved,Non Key Account,2,714,778,34,Self-employed,Pension,45.8,a006g000002FCmOAAW,7.69,80,3,Purchase Rent to Own,Owner,Apartment Low Rise,FALSE,Declined,66.9
1378783,Deactivated,Non Key Account,3,520,888,15,Contract,Commissions,12.2,a006g000002FCmPAAW,7.55,48,2,Purchase Rent to Own,Rental,Single,FALSE,Declined,22.4
1022423,Approved,Key Account,2,721,722,10,Hourly,Salary,25.6,a006g000002FCmQAAW,8.05,43,1,Purchase Rent to Own,Owner,Apartment High Rise,FALSE,Declined,66.8
1345293,Approved,Key Account,3,452,813,35,Self-employed,Self-employed,82.7,a006g000002FCmRAAW,9.95,39,3,Purchase,Rent To Own,Single,TRUE,Declined,89.1
1019141,Approved,Non Key Account,4,739,473,17,Pension,Commissions,43.5,a006g000002FCmSAAW,5.38,36,2,Purchase Rent to Own,Rental,Apartment High Rise,FALSE,Declined,72.4
1023112,Approved,Key Account,5,765,856,8,Salary,Salary,83.8,a006g000002FCmTAAW,6.69,22,1,Purchase Rent to Own,Rent To Own,Row,FALSE,Declined,86.7
793119,Approved,Non Key Account,2,789,593,56,Other,Commissions,33.6,a006g000002FCmUAAW,9.31,30,2,Refinance for Debt Consolidation,Rental,Single,FALSE,Declined,63.2
714682,Watch List,Key Account,3,597,746,4,Contract,Contract,51.5,a006g000002FCmVAAW,4.53,6,3,Refinance for Debt Consolidation,Owner,Apartment High Rise,FALSE,Approved,73.3
133459,Approved,Key Account,3,671,623,49,Contract,Hourly,8.8,a006g000002FCmWAAW,8.95,7,2,Equity Takeout,Rental,Apartment High Rise,FALSE,Declined,45.4
338125,Approved,Non Key Account,4,599,752,1,Contract,Self-employed,8.2,a006g000002FCmXAAW,4.39,14,1,Purchase,Rental,Single,TRUE,Declined,72.3
207490,Approved,Key Account,4,463,887,7,Salary,Commissions,27.6,a006g000002FCmYAAW,8.22,56,1,Refinance,Owner,Single,FALSE,Declined,82
234155,Approved,Non Key Account,3,521,643,37,Pension,Other,72.1,a006g000002FCmZAAW,9.83,24,3,Refinance for Debt Consolidation,Rent To Own,Single,FALSE,Declined,73.8
588613,Deactivated,Non Key Account,5,497,703,1,Contract,Other,80.3,a006g000002FCmaAAG,4.82,22,1,Refinance for Debt Consolidation,Rental,Apartment Low Rise,FALSE,Declined,97.5
218666,Watch List,Key Account,4,695,615,40,Commissions,Contract,75.8,a006g000002FCmbAAG,7.34,19,3,Refinance,Owner,Apartment High Rise,FALSE,Approved,92.7
1498455,Approved,Key Account,4,609,651,44,Other,Salary,6.5,a006g000002FCmcAAG,6.54,71,2,Refinance for Debt Consolidation,Owner,Single,FALSE,Approved,40.5
1115349,Watch List,Key Account,4,762,831,2,Commissions,Other,73.5,a006g000002FCmdAAG,6.14,68,3,Purchase,Rental,Row,FALSE,Declined,75.8
1361897,Approved,Non Key Account,3,467,866,9,Pension,Self-employed,32.2,a006g000002FCmeAAG,8.59,78,1,Refinance,Owner,Semi-detached,TRUE,Declined,45.4
966596,Approved,Key Account,3,568,539,32,Hourly,Contract,44.9,a006g000002FCmfAAG,4.1,38,3,Purchase,Rental,Apartment High Rise,FALSE,Declined,82.7
1269450,Approved,Non Key Account,3,494,773,33,Salary,Hourly,49,a006g000002FCmgAAG,4.52,76,2,Refinance for Debt Consolidation,Rental,Semi-detached,FALSE,Declined,64.6
463809,Watch List,Non Key Account,5,645,895,13,Self-employed,Salary,79.2,a006g000002FCmhAAG,4.96,59,2,Refinance for Debt Consolidation,Owner,Row,FALSE,Declined,89.3
380320,Approved,Non Key Account,3,814,674,1,Self-employed,Other,66.1,a006g000002FCmiAAG,4.24,27,1,Refinance for Debt Consolidation,Rent To Own,Apartment High Rise,FALSE,Declined,84.2
590477,Approved,Non Key Account,3,653,578,25,Salary,Pension,61.9,a006g000002FCmjAAG,6.78,55,1,Equity Takeout,Owner,Apartment Low Rise,FALSE,Declined,70.3
660140,Watch List,Non Key Account,2,778,690,18,Salary,Contract,45.4,a006g000002FCmkAAG,7.96,60,2,Purchase,Rent To Own,Apartment High Rise,FALSE,Declined,80.2
497562,Approved,Key Account,4,558,639,35,Salary,Other,74,a006g000002FCmlAAG,6.72,10,2,Refinance for Debt Consolidation,Owner,Apartment High Rise,FALSE,Approved,89.9
317742,Approved,Key Account,3,448,722,55,Hourly,Contract,73.7,a006g000002FCmmAAG,6.14,52,3,Refinance for Debt Consolidation,Rental,Semi-detached,FALSE,Approved,83.9
1379893,Approved,Key Account,4,704,606,50,Commissions,Commissions,60,a006g000002FCmnAAG,7.9,14,3,Refinance for Debt Consolidation,Rental,Apartment Low Rise,FALSE,Approved,76.6
633025,Approved,Non Key Account,4,435,824,45,Other,Self-employed,65.9,a006g000002FCmoAAG,7.62,20,1,Purchase,Rental,Row,TRUE,Declined,98.4
377811,Approved,Key Account,4,718,899,56,Other,Commissions,72.8,a006g000002FCmpAAG,5.6,24,2,Refinance,Owner,Apartment Low Rise,FALSE,Approved,97.3
309745,Approved,Key Account,3,723,730,25,Hourly,Self-employed,92.3,a006g000002FCmqAAG,9.75,35,1,Refinance,Rent To Own,Apartment Low Rise,TRUE,Approved,94.8
258051,Watch List,Key Account,3,497,843,40,Salary,Salary,69.6,a006g000002FCmrAAG,6.32,8,3,Purchase Rent to Own,Rental,Apartment Low Rise,FALSE,Declined,97.3
1159148,Deactivated,Non Key Account,4,537,627,60,Hourly,Hourly,46.4,a006g000002FCmsAAG,9.56,79,2,Purchase,Owner,Row,FALSE,Declined,49.7
933805,Approved,Non Key Account,5,715,747,43,Other,Pension,12.5,a006g000002FCmtAAG,6.27,7,3,Equity Takeout,Owner,Apartment Low Rise,FALSE,Declined,24
248327,Watch List,Non Key Account,4,471,797,44,Salary,Hourly,55.3,a006g000002FCmuAAG,8.17,35,3,Purchase Rent to Own,Rent To Own,Single,FALSE,Declined,64.3
952808,Approved,Non Key Account,3,463,411,16,Hourly,Other,37.4,a006g000002FCmvAAG,7.24,79,3,Purchase Rent to Own,Rental,Row,FALSE,Declined,56.9
316055,Deactivated,Non Key Account,5,883,746,1,Self-employed,Commissions,83.3,a006g000002FCmwAAG,7.64,69,2,Purchase,Rental,Apartment High Rise,FALSE,Declined,91.6
934832,Approved,Key Account,6,796,770,42,Hourly,Salary,39.9,a006g000002FCmxAAG,5.98,57,2,Purchase,Rental,Semi-detached,FALSE,Declined,89
1362833,Approved,Non Key Account,2,660,632,45,Self-employed,Commissions,94.1,a006g000002FCmyAAG,8.82,75,3,Purchase Rent to Own,Owner,Apartment High Rise,FALSE,Declined,99.5
381547,Watch List,Key Account,5,492,404,32,Other,Pension,15.8,a006g000002FCmzAAG,8.26,10,1,Refinance,Owner,Apartment High Rise,FALSE,Declined,93
714870,Approved,Non Key Account,4,664,442,51,Other,Hourly,56.2,a006g000002FCn0AAG,9.42,59,2,Equity Takeout,Owner,Row,FALSE,Approved,80.6
1051942,Watch List,Non Key Account,3,410,697,58,Hourly,Other,73.8,a006g000002FCn1AAG,9.26,42,3,Equity Takeout,Rent To Own,Row,FALSE,Declined,99.9
1106612,Approved,Non Key Account,3,625,730,24,Contract,Pension,84.8,a006g000002FCn2AAG,6.74,39,2,Purchase,Owner,Single,FALSE,Declined,96.3
1019382,Deactivated,Key Account,2,782,553,41,Contract,Other,55.8,a006g000002FCn3AAG,9.84,54,3,Equity Takeout,Rent To Own,Apartment High Rise,FALSE,Declined,97.1
645803,Approved,Key Account,4,415,528,35,Hourly,Self-employed,61.4,a006g000002FCn4AAG,4.77,8,2,Refinance,Rent To Own,Row,TRUE,Declined,70.9
1460373,Approved,Key Account,4,731,801,14,Self-employed,Pension,77.9,a006g000002FCn5AAG,9.54,58,1,Equity Takeout,Rent To Own,Apartment High Rise,FALSE,Declined,78.5
150757,Approved,Non Key Account,4,465,537,6,Other,Hourly,42.9,a006g000002FCn6AAG,8.75,76,3,Refinance,Rent To Own,Single,FALSE,Declined,60.9
412873,Approved,Non Key Account,3,720,742,6,Salary,Commissions,8.2,a006g000002FCn7AAG,8.21,69,2,Refinance,Rent To Own,Row,FALSE,Declined,54.2
472640,Approved,Key Account,6,665,696,3,Commissions,Pension,28.4,a006g000002FCn8AAG,6.67,54,2,Purchase,Owner,Semi-detached,FALSE,Approved,95.1
160846,Watch List,Key Account,4,430,604,23,Pension,Pension,95,a006g000002FCn9AAG,9.23,68,3,Refinance for Debt Consolidation,Owner,Apartment Low Rise,FALSE,Approved,99.7
136830,Watch List,Key Account,5,828,829,21,Commissions,Hourly,62.4,a006g000002FCnAAAW,4.71,45,3,Refinance for Debt Consolidation,Owner,Semi-detached,FALSE,Approved,68.6
413044,Approved,Key Account,4,423,708,5,Commissions,Other,14.3,a006g000002FCnBAAW,7.92,69,1,Purchase Rent to Own,Owner,Apartment High Rise,FALSE,Approved,29.9
716702,Watch List,Non Key Account,4,799,769,7,Self-employed,Other,7.4,a006g000002FCnCAAW,7.58,26,3,Purchase,Rent To Own,Single,FALSE,Declined,93.3
143754,Approved,Key Account,4,662,574,1,Commissions,Salary,54.2,a006g000002FCnDAAW,9.27,17,3,Purchase,Rent To Own,Apartment Low Rise,FALSE,Declined,98.8
159842,Approved,Non Key Account,3,895,599,34,Self-employed,Salary,63.1,a006g000002FCnEAAW,5.3,25,3,Purchase Rent to Own,Owner,Row,FALSE,Declined,63.7
931693,Approved,Key Account,2,672,420,60,Other,Contract,45.4,a006g000002FCnFAAW,9.95,29,2,Purchase Rent to Own,Rental,Row,FALSE,Approved,82.8
149482,Approved,Key Account,4,801,478,37,Commissions,Self-employed,62.1,a006g000002FCnGAAW,8.65,43,1,Refinance,Rent To Own,Single,TRUE,Declined,70
484947,Deactivated,Key Account,3,800,579,60,Pension,Salary,85.3,a006g000002FCnHAAW,5.32,36,2,Purchase,Owner,Row,FALSE,Declined,92.3
1140834,Watch List,Key Account,5,563,439,7,Other,Hourly,56.9,a006g000002FCnIAAW,9.97,53,2,Refinance,Rent To Own,Apartment High Rise,FALSE,Approved,64
1274062,Approved,Key Account,4,617,723,43,Hourly,Commissions,34.8,a006g000002FCnJAAW,9.19,11,2,Equity Takeout,Rental,Single,FALSE,Declined,41.3
1060637,Approved,Key Account,2,636,562,6,Commissions,Salary,75.7,a006g000002FCnKAAW,7.06,61,3,Equity Takeout,Rent To Own,Apartment Low Rise,FALSE,Declined,82.9
1145188,Watch List,Non Key Account,4,604,533,26,Commissions,Pension,41.6,a006g000002FCnLAAW,6.58,61,2,Equity Takeout,Rent To Own,Single,FALSE,Declined,90.6
305227,Approved,Non Key Account,3,888,436,57,Salary,Commissions,70.2,a006g000002FCnMAAW,5.82,8,3,Purchase Rent to Own,Owner,Apartment High Rise,FALSE,Declined,88.1
968670,Approved,Key Account,4,745,483,0,Hourly,Self-employed,28,a006g000002FCnNAAW,6.89,26,1,Purchase,Rent To Own,Single,TRUE,Declined,33.7
284199,Deactivated,Non Key Account,4,681,539,20,Other,Self-employed,78.8,a006g000002FCnOAAW,4.22,59,1,Refinance for Debt Consolidation,Rental,Semi-detached,TRUE,Declined,79.1
447538,Deactivated,Key Account,2,647,762,17,Hourly,Contract,59.7,a006g000002FCnPAAW,5.53,21,2,Purchase Rent to Own,Rent To Own,Single,FALSE,Approved,68.5
908730,Approved,Non Key Account,3,500,829,57,Hourly,Pension,61.1,a006g000002FCnQAAW,6.09,32,2,Equity Takeout,Rental,Semi-detached,FALSE,Declined,73.3
301666,Approved,Non Key Account,1,731,602,43,Contract,Salary,67.7,a006g000002FCnRAAW,6.2,71,3,Equity Takeout,Rent To Own,Apartment High Rise,FALSE,Declined,97.3
550864,Approved,Key Account,4,720,688,52,Salary,Hourly,40,a006g000002FCnSAAW,7.92,78,1,Equity Takeout,Rent To Own,Single,FALSE,Approved,52
1127785,Approved,Non Key Account,3,898,769,38,Commissions,Pension,60.6,a006g000002FCnTAAW,9.14,15,1,Purchase,Rent To Own,Apartment Low Rise,FALSE,Declined,71.2
146876,Deactivated,Key Account,4,855,718,26,Contract,Hourly,52.5,a006g000002FCnUAAW,9.89,32,2,Refinance,Owner,Single,FALSE,Approved,57
868303,Watch List,Non Key Account,4,410,853,1,Commissions,Pension,21.1,a006g000002FCnVAAW,7.74,64,3,Refinance for Debt Consolidation,Owner,Semi-detached,FALSE,Approved,75.2
287891,Approved,Non Key Account,2,677,855,24,Salary,Other,13.9,a006g000002FCnWAAW,6.28,20,1,Purchase,Rental,Apartment High Rise,FALSE,Declined,75.2
292707,Approved,Key Account,4,548,677,25,Pension,Pension,28.3,a006g000002FCnXAAW,9.16,62,1,Purchase Rent to Own,Rent To Own,Apartment High Rise,FALSE,Declined,97.1
1447410,Deactivated,Key Account,4,748,792,3,Other,Other,61.6,a006g000002FCnYAAW,4.76,40,2,Refinance,Owner,Apartment High Rise,FALSE,Declined,64.3
1178183,Approved,Non Key Account,5,749,655,18,Hourly,Hourly,50.5,a006g000002FCnZAAW,7.54,60,3,Refinance for Debt Consolidation,Rent To Own,Apartment Low Rise,FALSE,Approved,67.3
910645,Approved,Key Account,2,826,858,40,Commissions,Salary,31.2,a006g000002FCnaAAG,8.08,12,3,Equity Takeout,Rental,Apartment High Rise,FALSE,Declined,89.5
1179361,Approved,Non Key Account,3,754,770,13,Other,Commissions,83.9,a006g000002FCnbAAG,9.94,12,2,Refinance for Debt Consolidation,Owner,Single,FALSE,Approved,93.5
1276521,Approved,Key Account,2,713,625,36,Commissions,Hourly,43.4,a006g000002FCncAAG,8.53,27,1,Purchase,Rental,Apartment Low Rise,FALSE,Declined,67.3
1093685,Approved,Non Key Account,3,800,522,16,Contract,Commissions,28,a006g000002FCndAAG,5.31,66,2,Refinance,Rental,Row,FALSE,Declined,78.6
940985,Approved,Non Key Account,4,415,867,2,Hourly,Commissions,28.3,a006g000002FCneAAG,4.36,33,1,Refinance,Rental,Semi-detached,FALSE,Declined,53
1085713,Watch List,Non Key Account,4,591,682,42,Self-employed,Hourly,12.5,a006g000002FCnfAAG,4.51,14,3,Refinance,Owner,Single,FALSE,Declined,64.5
390555,Approved,Non Key Account,4,494,767,50,Commissions,Hourly,82.3,a006g000002FCngAAG,4.37,22,3,Purchase Rent to Own,Owner,Row,FALSE,Declined,87.4
242510,Approved,Non Key Account,5,773,526,13,Pension,Salary,94.2,a006g000002FCnhAAG,9.42,33,2,Refinance,Rental,Semi-detached,FALSE,Declined,95.7
347703,Deactivated,Key Account,2,706,770,59,Commissions,Commissions,54.1,a006g000002FCniAAG,4.9,39,3,Purchase,Rental,Apartment Low Rise,FALSE,Declined,71.6
838852,Approved,Key Account,2,664,881,47,Contract,Self-employed,87.4,a006g000002FCnjAAG,5.36,11,2,Purchase Rent to Own,Rental,Single,TRUE,Approved,98.7
134134,Approved,Non Key Account,4,440,421,9,Hourly,Hourly,57.9,a006g000002FCnkAAG,4.28,20,2,Equity Takeout,Rental,Apartment Low Rise,FALSE,Declined,83.5
325549,Approved,Key Account,5,449,760,26,Self-employed,Other,65.2,a006g000002FCnlAAG,5.13,37,3,Purchase,Rent To Own,Row,FALSE,Declined,89.7
732891,Watch List,Key Account,2,586,663,2,Contract,Pension,66.9,a006g000002FCnmAAG,5.47,53,3,Refinance,Owner,Semi-detached,FALSE,Approved,82.3
881659,Deactivated,Non Key Account,3,429,758,44,Pension,Hourly,81.5,a006g000002FCnnAAG,7.11,36,3,Purchase,Owner,Semi-detached,FALSE,Declined,89.2
523725,Approved,Non Key Account,3,783,687,15,Salary,Commissions,86.9,a006g000002FCnoAAG,5.04,46,3,Equity Takeout,Rental,Row,FALSE,Declined,98
1440312,Approved,Non Key Account,3,827,900,19,Self-employed,Self-employed,0.1,a006g000002FCnpAAG,4.31,21,2,Refinance for Debt Consolidation,Rent To Own,Row,TRUE,Declined,24.9
185597,Deactivated,Non Key Account,3,532,722,59,Other,Other,26.3,a006g000002FCnqAAG,6.1,26,1,Equity Takeout,Rental,Single,FALSE,Declined,38.1
1292209,Watch List,Key Account,4,401,727,45,Contract,Salary,51.4,a006g000002FCnrAAG,9.35,9,3,Purchase,Owner,Single,FALSE,Approved,66.6
1462525,Approved,Non Key Account,4,884,404,7,Self-employed,Other,88.1,a006g000002FCnsAAG,8.07,17,3,Equity Takeout,Rental,Single,FALSE,Declined,96.1
757923,Approved,Key Account,3,468,600,26,Self-employed,Self-employed,50.6,a006g000002FCntAAG,9.87,51,1,Purchase Rent to Own,Rental,Apartment High Rise,TRUE,Declined,86.3
990357,Approved,Key Account,2,825,835,8,Commissions,Pension,18.8,a006g000002FCnuAAG,6.97,76,2,Equity Takeout,Owner,Row,FALSE,Declined,56.1
602322,Watch List,Non Key Account,4,558,880,53,Contract,Salary,27.1,a006g000002FCnvAAG,9.38,78,2,Purchase Rent to Own,Owner,Row,FALSE,Declined,45.3
1308109,Watch List,Key Account,3,669,833,47,Commissions,Hourly,49.7,a006g000002FCnwAAG,9.59,60,3,Equity Takeout,Rental,Row,FALSE,Declined,79.5
728222,Approved,Key Account,5,699,578,7,Commissions,Self-employed,28.8,a006g000002FCnxAAG,4.12,67,3,Refinance,Rental,Single,TRUE,Approved,78.7
1113088,Approved,Non Key Account,5,532,523,25,Salary,Salary,4,a006g000002FCnyAAG,6.82,17,2,Purchase,Owner,Apartment Low Rise,FALSE,Declined,31.2
352607,Deactivated,Key Account,3,881,857,12,Pension,Commissions,46.1,a006g000002FCnzAAG,4.25,71,1,Purchase Rent to Own,Rent To Own,Single,FALSE,Declined,75.2
758647,Watch List,Key Account,3,580,462,24,Other,Commissions,82.8,a006g000002FCo0AAG,6.08,9,1,Purchase Rent to Own,Rental,Row,FALSE,Declined,88.2
842749,Deactivated,Key Account,3,870,849,49,Self-employed,Self-employed,43.2,a006g000002FCo1AAG,7.17,63,2,Purchase,Rental,Apartment High Rise,TRUE,Declined,46.4
1490633,Approved,Key Account,4,422,761,36,Pension,Contract,56.8,a006g000002FCo2AAG,4.65,24,2,Purchase,Owner,Apartment Low Rise,FALSE,Approved,57.7
310948,Approved,Key Account,3,566,734,49,Other,Other,23,a006g000002FCo3AAG,8.34,23,3,Refinance,Rent To Own,Semi-detached,FALSE,Declined,54.4
1436543,Approved,Non Key Account,1,516,417,30,Hourly,Pension,29.4,a006g000002FCo4AAG,7.66,53,1,Purchase Rent to Own,Rental,Row,FALSE,Declined,78
859466,Approved,Non Key Account,3,576,736,28,Hourly,Self-employed,76.1,a006g000002FCo5AAG,9.34,65,1,Refinance,Rental,Row,TRUE,Declined,84.4
1022613,Approved,Non Key Account,3,576,474,16,Other,Self-employed,86.8,a006g000002FCo6AAG,4.01,80,2,Equity Takeout,Owner,Single,TRUE,Declined,90.1
1389810,Approved,Non Key Account,4,624,835,44,Self-employed,Self-employed,56.5,a006g000002FCo7AAG,4.77,28,1,Purchase,Rent To Own,Apartment Low Rise,TRUE,Declined,68.2
630226,Approved,Key Account,5,840,515,59,Salary,Self-employed,56.3,a006g000002FCo8AAG,5.77,29,2,Refinance,Owner,Apartment High Rise,TRUE,Declined,96.5
885810,Approved,Non Key Account,5,818,874,56,Other,Commissions,96.4,a006g000002FCo9AAG,9.86,40,1,Purchase Rent to Own,Rent To Own,Row,FALSE,Declined,99.7
805527,Approved,Key Account,4,598,587,23,Hourly,Pension,60.6,a006g000002FCoAAAW,8.89,77,1,Refinance for Debt Consolidation,Rental,Apartment High Rise,FALSE,Approved,90.3
524891,Approved,Key Account,2,625,512,58,Commissions,Hourly,36.3,a006g000002FCoBAAW,9.14,15,3,Purchase Rent to Own,Owner,Apartment High Rise,FALSE,Approved,70.7
1205385,Approved,Key Account,4,674,683,54,Pension,Commissions,6.4,a006g000002FCoCAAW,7.6,41,3,Refinance,Owner,Row,FALSE,Approved,14
228183,Approved,Non Key Account,2,715,554,33,Contract,Pension,26.7,a006g000002FCoDAAW,6.98,60,3,Purchase Rent to Own,Owner,Semi-detached,FALSE,Declined,64.2
1158955,Watch List,Non Key Account,3,458,644,37,Salary,Salary,15.6,a006g000002FCoEAAW,6.34,73,3,Refinance,Rental,Apartment High Rise,FALSE,Declined,84.1
